service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
RESEAU2021-C40-Semaine-02-0001000-C40,0,0,0,1,0,0,0,20250911,20251218
RESEAU2021-K-L-Ma-J-V-01-K,1,1,0,1,1,0,0,20250908,20251219
PROJET2025-61-Semaine-25-61,1,1,1,1,1,0,0,20251020,20251231
PVS2025-26-64-Semaine-37-64,1,1,1,1,1,0,0,20251020,20251231
chouette:TimeTable:8f777243-eabc-44ee-9a01-578120528b03:LOC,0,0,0,0,0,1,0,20250908,20251018
chouette:TimeTable:39e90727-69b6-40e1-b78d-df47871d5601:LOC,0,1,1,1,1,1,0,20250908,20251018
RESEAU2023-41-Semaine-03-41,1,1,1,1,1,0,0,20251020,20251231
SETP2025-06-Samedi-01-06,0,0,0,0,0,1,0,20250908,20251227
PROJET2025-54-Samedi-12-54,0,0,0,0,0,1,0,20250908,20251227
PROJET2023-47-Samedi-10-47,0,0,0,0,0,1,0,20250908,20251227
SETP2025-15-Samedi-10-15,0,0,0,0,0,1,0,20250908,20250927
PROJET2025-41-Samedi-05-41,0,0,0,0,0,1,0,20250908,20251227
RESEAU2023-75-Samedi-77-75,0,0,0,0,0,1,0,20250908,20251227
SETP2025-L1-Samedi-46-L1,0,0,0,0,0,1,0,20250908,20251227
JANV2025-L2-Samedi-03-L2,0,0,0,0,0,1,0,20250908,20251227
SETP2025-05-Samedi-35-05,0,0,0,0,0,1,0,20250908,20251227
SETP2025-11-Samedi-35-11,0,0,0,0,0,1,0,20250908,20251227
SETP2025-10-Samedi-01-10,0,0,0,0,0,1,0,20250908,20251227
SETP2025-08-Samedi-05-08,0,0,0,0,0,1,0,20250908,20251227
SETP2025-07-Samedi-36-07,0,0,0,0,0,1,0,20250908,20251227
RESEAU2022-31-Samedi-01-31,0,0,0,0,0,1,0,20250908,20251227
RESEAU2023-44-Samedi-88-44,0,0,0,0,0,1,0,20250908,20250913
PROJET2025-22-Samedi-20-22,0,0,0,0,0,1,0,20250908,20251227
SETP2025-17-Samedi-36-17,0,0,0,0,0,1,0,20250908,20251227
SETP2025-18-Samedi-38-18,0,0,0,0,0,1,0,20250908,20251227
JANV2025-B-Samedi-03-B,0,0,0,0,0,1,0,20250908,20251227
PROJET2025-84-Samedi-04-84,0,0,0,0,0,1,0,20250908,20251227
SETP2025-36-Samedi-32-36,0,0,0,0,0,1,0,20250908,20251227
PROJET2025-76-Samedi-89-76,0,0,0,0,0,1,0,20250908,20251227
PROJET2025-63-Samedi-62-63,0,0,0,0,0,1,0,20250908,20250927
SETP2025-35-Samedi-36-35,0,0,0,0,0,1,0,20250908,20251227
SETP2025-70-Samedi-34-70,0,0,0,0,0,1,0,20250908,20251227
PROJET2024-82-Samedi-93-82,0,0,0,0,0,1,0,20250908,20250927
SETP2025-14-Samedi-36-14,0,0,0,0,0,1,0,20250908,20251227
SETP2025-12-Samedi-03-12,0,0,0,0,0,1,0,20250908,20251227
SETP2025-64-Samedi-36-64,0,0,0,0,0,1,0,20250908,20251227
SETP2025-57-Samedi-06-57,0,0,0,0,0,1,0,20250908,20251227
SETP2025-33-Samedi-33-33,0,0,0,0,0,1,0,20250908,20251227
JANV2025-L3-Samedi-03-L3,0,0,0,0,0,1,0,20250908,20251227
PROJET2025-50-Samedi-08-50,0,0,0,0,0,1,0,20250908,20251227
PROJET2023-69-Samedi-11-69,0,0,0,0,0,1,0,20250908,20251227
SETP2025-37-Samedi-34-37,0,0,0,0,0,1,0,20250908,20251227
RESEAU2023-88-Samedi-83-88,0,0,0,0,0,1,0,20250908,20251227
PROJET2024-NVence1-Samedi-15-NVN1,0,0,0,0,0,1,0,20250908,20251227
PROJET2024-72-Samedi-74-72,0,0,0,0,0,1,0,20250908,20251227
RESEAU2023-62-Samedi-10-62,0,0,0,0,0,1,0,20250908,20251227
SETP2025-20-Samedi-36-20,0,0,0,0,0,1,0,20250908,20251227
PROJET2025-19-Samedi-20-19,0,0,0,0,0,1,0,20250908,20251227
SETP2025-21-Samedi-35-21,0,0,0,0,0,1,0,20250908,20251227
PROJET2025-59-Samedi-63-59,0,0,0,0,0,1,0,20250908,20251227
SETP2025-30-Samedi-31-30,0,0,0,0,0,1,0,20250908,20251227
SETP2025-16-Samedi-33-16,0,0,0,0,0,1,0,20250908,20251227
PROJET2025-73-Samedi-16-73,0,0,0,0,0,1,0,20250908,20250927
PROJET2025-91-Samedi-27-91,0,0,0,0,0,1,0,20250908,20251227
PROJET2025-09-Samedi-35-09,0,0,0,0,0,1,0,20250908,20251227
SETP2025-81-Samedi-35-81,0,0,0,0,0,1,0,20250908,20251227
PROJET2025-51-Samedi-10-51,0,0,0,0,0,1,0,20250908,20251227
PROJET2025-61-Samedi-22-61,0,0,0,0,0,1,0,20250908,20251227
PROJET2025-71-Samedi-81-71,0,0,0,0,0,1,0,20250908,20251227
PROJET2025-NVence3-Samedi-12-NVN3,0,0,0,0,0,1,0,20250908,20251227
SETP2025-32-Samedi-34-32,0,0,0,0,0,1,0,20250908,20251227
RESEAU2023-83-Samedi-03-83,0,0,0,0,0,1,0,20250908,20250927
PROJET2025-60-Samedi-07-60,0,0,0,0,0,1,0,20250908,20251227
PROJET2025-34-Samedi-20-34,0,0,0,0,0,1,0,20250908,20251227
PROJET2025-52-Samedi-20-52,0,0,0,0,0,1,0,20250908,20251227
PROJET2025-42-Samedi-08-42,0,0,0,0,0,1,0,20250908,20251227
SETP2025-99-Samedi-11-99,0,0,0,0,0,1,0,20250908,20251227
PROJET2025-90-Samedi-21-90,0,0,0,0,0,1,0,20250908,20251227
PROJET2025-NVGOR-Samedi-02-NGOR,0,0,0,0,0,1,0,20250908,20250920
SETP2025-38-Samedi-39-38,0,0,0,0,0,1,0,20250908,20251227
RESEAU2023-80-Samedi-03-80,0,0,0,0,0,1,0,20250908,20251227
SETP2025-98-Samedi-06-98,0,0,0,0,0,1,0,20250908,20251227
PROJET2025-LIsola-Samedi-14-LIso,0,0,0,0,0,1,0,20250908,20250913
PROJET2025-94-Samedi-07-94,0,0,0,0,0,1,0,20250908,20251025
PROJET2023-NavVDB-Samedi-02-NVDB,0,0,0,0,0,1,0,20250908,20250927
PROJET2024-NVence2-Samedi-12-NVN2,0,0,0,0,0,1,0,20250908,20251227
PROJET2023-Nav MAEG-Samedi-02-NVMA,0,0,0,0,0,1,0,20250908,20250927
PROJET2025-55-Samedi-09-55,0,0,0,0,0,1,0,20250908,20251227
RESEAU2022-39-Samedi-03-39,0,0,0,0,0,1,0,20250908,20251227
PROJET2025-NVBOR-Samedi-01-NBOR,0,0,0,0,0,1,0,20250908,20250920
RESEAU2021-C45-Samedi-03-C45,0,0,0,0,0,1,0,20250908,20251227
RESEAU2023-93-Samedi-02-93,0,0,0,0,0,1,0,20250908,20251129
PROJET2025-92-Samedi-22-92,0,0,0,0,0,1,0,20250908,20251129
PVS2025-26-57-Semaine-07-57,1,1,1,1,1,0,0,20251020,20251231
PROJET2025-19-Semaine-22-19,1,1,1,1,1,0,0,20251020,20251231
RESEAU2023-93-Semaine-03-0100000-93,0,1,0,0,0,0,0,20250909,20251125
RESEAU2021-C44-Semaine-02-0100000-C44,0,1,0,0,0,0,0,20250909,20251230
SETP2025-08-Semaine-07-08,1,1,1,1,1,0,0,20250908,20251017
PVS2025-26-06-Semaine-01-06,1,1,1,1,1,0,0,20251020,20251031
PVS2025-26-10-Semaine-01-10,1,1,1,1,1,0,0,20251020,20251031
PVS2025-26-14-Semaine-37-14,1,1,1,1,1,0,0,20251020,20251231
SETP2025-06-Semaine-01-06,1,1,1,1,1,0,0,20250908,20251231
chouette:TimeTable:a6095ba5-1740-4d1c-b24f-247fbb25835f:LOC,0,1,1,1,1,1,0,20250909,20251231
chouette:TimeTable:b5f3acd9-f5c1-482a-b7b7-d6d9ff3d4528:LOC,1,0,0,0,0,0,0,20250908,20251229
chouette:TimeTable:71814b3a-add5-4764-b4ee-313220add712:LOC,0,1,1,1,1,1,0,20251021,20251101
PROJET2025-54-Semaine-17-54,1,1,1,1,1,0,0,20250908,20251231
PROJET2025-31-Semaine-08-31,1,1,1,1,1,0,0,20250908,20251231
SETP2025-15-Samedi-40-15,0,0,0,0,0,1,0,20251004,20251227
PROJET2023-47-Semaine-11-47,1,1,1,1,1,0,0,20250910,20251231
JANV2025-L2-Semaine-10-L2,1,1,1,1,1,0,0,20250912,20251226
PROJET2024-75-Mercredi-87-75,0,0,1,0,0,0,0,20250910,20251217
RESEAU2023-44-Samedi-89-44,0,0,0,0,0,1,0,20250920,20251227
PROJET2025-41-Semaine-05-41,1,1,1,1,1,0,0,20250908,20251219
PROJET2023-47-Semaine-10-47,1,1,1,1,1,0,0,20250908,20251219
SETP2025-15-Semaine-42-15,1,1,1,1,1,0,0,20250929,20251219
PVS2025-26-15-Semaine-42-15,1,1,1,1,1,0,0,20251020,20251231
SETP2025-15-Semaine-11-15,1,1,1,1,1,0,0,20250908,20250926
chouette:TimeTable:5c735ca0-4ba2-466d-867d-844b64af77e8:LOC,0,1,1,1,1,1,0,20251021,20251231
SETP2025-15-Dimanche-39-15,0,0,0,0,0,0,1,20251005,20251228
chouette:TimeTable:8833d68d-2e15-444d-b57c-3a015858a970:LOC,1,0,0,0,0,0,0,20250908,20251229
PROJET2024-75-Semaine-86-1101100-75,1,1,0,1,1,0,0,20250908,20251219
PROJET2024-75-Semaine-88-75,1,1,1,1,1,0,0,20251020,20251231
SETP2025-L1-Semaine-05-L1,1,1,1,1,1,0,0,20250912,20251226
SETP2025-L1-Semaine-04-L1,1,1,1,1,1,0,0,20250908,20251231
chouette:TimeTable:b50732d3-91a6-4da7-be20-3490a4ed2f9a:LOC,0,1,1,1,1,1,0,20250913,20251227
SETP2025-05-Mercredi-38-05,0,0,1,0,0,0,0,20250910,20251217
PVS2025-26-05-Semaine-37-05,1,1,1,1,1,0,0,20251020,20251231
chouette:TimeTable:d7be52f7-5d67-4659-b803-979820870b63:LOC,0,1,1,1,1,1,0,20250909,20251231
chouette:TimeTable:97ea1fb4-38d8-40a7-b737-f824b25852c3:LOC,0,1,1,0,1,1,0,20250909,20251220
