trip_id,stop_sequence,stop_id,arrival_time,departure_time
6414379-07_A_49_0710_22:40-SETP2025-07-L-Ma-J-V-41,0,447,,1757364000
6414379-07_A_49_0710_22:40-SETP2025-07-L-Ma-J-V-41,1,1593,1757364048,1757364048
6414379-07_A_49_0710_22:40-SETP2025-07-L-Ma-J-V-41,2,1054,1757364119,1757364119
6414379-07_A_49_0710_22:40-SETP2025-07-L-Ma-J-V-41,3,908,1757364169,1757364169
6414379-07_A_49_0710_22:40-SETP2025-07-L-Ma-J-V-41,4,233,1757364222,1757364222
6414379-07_A_49_0710_22:40-SETP2025-07-L-Ma-J-V-41,5,2665,1757364279,1757364279
6414379-07_A_49_0710_22:40-SETP2025-07-L-Ma-J-V-41,6,868,1757364373,1757364373
6414379-07_A_49_0710_22:40-SETP2025-07-L-Ma-J-V-41,7,2861,1757364420,1757364420
6414379-07_A_49_0710_22:40-SETP2025-07-L-Ma-J-V-41,8,1198,1757364540,1757364540
6414379-07_A_49_0710_22:40-SETP2025-07-L-Ma-J-V-41,9,1199,1757364579,1757364579
6414379-07_A_49_0710_22:40-SETP2025-07-L-Ma-J-V-41,10,548,1757364599,1757364599
6414379-07_A_49_0710_22:40-SETP2025-07-L-Ma-J-V-41,11,247,1757364660,1757364660
6414379-07_A_49_0710_22:40-SETP2025-07-L-Ma-J-V-41,12,275,,1757364713
6414379-07_A_49_0710_22:40-SETP2025-07-L-Ma-J-V-41,13,1302,,1757364830
6414379-07_A_49_0710_22:40-SETP2025-07-L-Ma-J-V-41,14,1073,1757364960,1757364960
6414379-07_A_49_0710_22:40-SETP2025-07-L-Ma-J-V-41,15,557,1757365055,1757365055
6414379-07_A_49_0710_22:40-SETP2025-07-L-Ma-J-V-41,16,1281,1757365119,1757365119
6414379-07_A_49_0710_22:40-SETP2025-07-L-Ma-J-V-41,17,67,,1757365200
6414379-07_A_49_0710_22:40-SETP2025-07-L-Ma-J-V-41,18,480,1757365346,1757365346
6414379-07_A_49_0710_22:40-SETP2025-07-L-Ma-J-V-41,19,117,1757365399,1757365399
6414379-07_A_49_0710_22:40-SETP2025-07-L-Ma-J-V-41,20,1153,,1757365440
6414379-07_A_49_0710_22:40-SETP2025-07-L-Ma-J-V-41,21,314,1757365508,1757365508
6414379-07_A_49_0710_22:40-SETP2025-07-L-Ma-J-V-41,22,87,1757365589,1757365589
6414379-07_A_49_0710_22:40-SETP2025-07-L-Ma-J-V-41,23,703,1757365685,1757365685
6414379-07_A_49_0710_22:40-SETP2025-07-L-Ma-J-V-41,24,701,1757365740,
6368768-09_R_99_0905_23:00-PROJET2025-09-Semaine-35,0,2968,,1757365200
6368768-09_R_99_0905_23:00-PROJET2025-09-Semaine-35,1,5246,1757365408,1757365408
6368768-09_R_99_0905_23:00-PROJET2025-09-Semaine-35,2,5073,1757365500,1757365500
