trip_id,stop_sequence,stop_id,arrival_time,departure_time
4603442-83_A_47_8301_10:00-RESEAU2023-83-Semaine-03,0,8003,,1757491200
4603442-83_A_47_8301_10:00-RESEAU2023-83-Semaine-03,1,8070,1757492077,1757492077
4603442-83_A_47_8301_10:00-RESEAU2023-83-Semaine-03,2,8197,1757492133,1757492133
4603442-83_A_47_8301_10:00-RESEAU2023-83-Semaine-03,3,8139,1757492170,1757492170
4603442-83_A_47_8301_10:00-RESEAU2023-83-Semaine-03,4,8038,1757492312,1757492312
4603442-83_A_47_8301_10:00-RESEAU2023-83-Semaine-03,5,8010,1757492359,1757492359
4603442-83_A_47_8301_10:00-RESEAU2023-83-Semaine-03,6,8057,1757492419,1757492419
4603442-83_A_47_8301_10:00-RESEAU2023-83-Semaine-03,7,8185,1757492610,1757492610
4603442-83_A_47_8301_10:00-RESEAU2023-83-Semaine-03,8,8164,1757492709,1757492709
4603442-83_A_47_8301_10:00-RESEAU2023-83-Semaine-03,9,8060,1757492714,1757492714
4603442-83_A_47_8301_10:00-RESEAU2023-83-Semaine-03,10,8017,1757492841,1757492841
4603442-83_A_47_8301_10:00-RESEAU2023-83-Semaine-03,11,8227,1757492864,1757492864
4603442-83_A_47_8301_10:00-RESEAU2023-83-Semaine-03,12,8167,1757493050,1757493050
4603442-83_A_47_8301_10:00-RESEAU2023-83-Semaine-03,13,8166,1757493088,1757493088
4603442-83_A_47_8301_10:00-RESEAU2023-83-Semaine-03,14,8071,1757493135,1757493135
4603442-83_A_47_8301_10:00-RESEAU2023-83-Semaine-03,15,8005,1757493177,1757493177
4603442-83_A_47_8301_10:00-RESEAU2023-83-Semaine-03,16,8113,1757493280,1757493280
4603442-83_A_47_8301_10:00-RESEAU2023-83-Semaine-03,17,8048,1757493362,1757493362
4603442-83_A_47_8301_10:00-RESEAU2023-83-Semaine-03,18,8022,1757493408,1757493408
4603442-83_A_47_8301_10:00-RESEAU2023-83-Semaine-03,19,8053,1757493491,1757493491
4603442-83_A_47_8301_10:00-RESEAU2023-83-Semaine-03,20,8135,1757493521,1757493521
4603442-83_A_47_8301_10:00-RESEAU2023-83-Semaine-03,21,8032,1757493585,1757493585
4603442-83_A_47_8301_10:00-RESEAU2023-83-Semaine-03,22,8141,1757493632,
6257338-59_R_96_5904_09:44-PROJET2025-59-Semaine-26,0,7146,,1757490240
6257338-59_R_96_5904_09:44-PROJET2025-59-Semaine-26,1,7014,1757490345,1757490345
6257338-59_R_96_5904_09:44-PROJET2025-59-Semaine-26,2,6007,1757490533,1757490533
6257338-59_R_96_5904_09:44-PROJET2025-59-Semaine-26,3,6080,1757490734,1757490734
6257338-59_R_96_5904_09:44-PROJET2025-59-Semaine-26,4,6177,1757490803,1757490803
6257338-59_R_96_5904_09:44-PROJET2025-59-Semaine-26,5,6091,,1757491140
6257338-59_R_96_5904_09:44-PROJET2025-59-Semaine-26,6,6087,1757491350,1757491350
6257338-59_R_96_5904_09:44-PROJET2025-59-Semaine-26,7,6009,1757491440,1757491440
6257338-59_R_96_5904_09:44-PROJET2025-59-Semaine-26,8,6076,1757491860,1757491860
6257338-59_R_96_5904_09:44-PROJET2025-59-Semaine-26,9,6174,1757491907,1757491907
6257338-59_R_96_5904_09:44-PROJET2025-59-Semaine-26,10,6189,1757491924,1757491924
6257338-59_R_96_5904_09:44-PROJET2025-59-Semaine-26,11,6020,1757492040,1757492040
6257338-59_R_96_5904_09:44-PROJET2025-59-Semaine-26,12,902,1757492119,1757492119
6257338-59_R_96_5904_09:44-PROJET2025-59-Semaine-26,13,191,1757492415,1757492415
6257338-59_R_96_5904_09:44-PROJET2025-59-Semaine-26,14,2659,1757492700,1757492700
6257338-59_R_96_5904_09:44-PROJET2025-59-Semaine-26,15,1350,1757492778,1757492778
6257338-59_R_96_5904_09:44-PROJET2025-59-Semaine-26,16,2884,1757492831,1757492831
6257338-59_R_96_5904_09:44-PROJET2025-59-Semaine-26,17,2837,1757492980,1757492980
6257338-59_R_96_5904_09:44-PROJET2025-59-Semaine-26,18,2835,1757493360,1757493360
6257338-59_R_96_5904_09:44-PROJET2025-59-Semaine-26,19,1158,1757493774,1757493774
6257338-59_R_96_5904_09:44-PROJET2025-59-Semaine-26,20,816,1757493851,1757493851
6257338-59_R_96_5904_09:44-PROJET2025-59-Semaine-26,21,2853,1757494080,
6428400-61_A_50_6103_08:50-PROJET2025-61-Semaine-24,38,178,1757488888,1757488888
6428400-61_A_50_6103_08:50-PROJET2025-61-Semaine-24,39,2829,1757488969,1757488969
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,0,4283,,1757488980
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,1,32057,1757489040,1757489040
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,2,32056,1757489040,1757489040
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,3,4203,1757489113,1757489113
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,4,4253,1757489160,1757489160
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,5,4289,1757489292,1757489292
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,6,4069,1757489387,1757489387
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,7,4093,1757489432,1757489432
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,8,4053,1757489489,1757489489
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,9,4010,1757489689,1757489689
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,10,4084,1757489747,1757489747
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,11,4149,,1757489820
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,12,4113,1757489937,1757489937
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,13,4121,1757490009,1757490009
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,14,4027,1757490082,1757490082
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,15,4137,1757490199,1757490199
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,16,4017,1757490330,1757490330
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,17,4123,1757490419,1757490419
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,18,4157,1757490552,1757490552
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,19,4090,1757490566,1757490566
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,20,4006,1757490655,1757490655
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,21,5161,1757490732,1757490732
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,22,5142,1757490829,1757490829
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,23,5029,1757490896,1757490896
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,24,5104,1757490924,1757490924
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,25,2995,1757491050,1757491050
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,27,5121,1757491216,1757491216
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,28,5218,1757491230,1757491230
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,29,5220,1757491413,1757491413
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,30,2971,1757491857,
6409576-57_A_50_5710_10:45-SETP2025-57-Semaine-06,0,1150,,1757493900
6409576-57_A_50_5710_10:45-SETP2025-57-Semaine-06,5,463,1757494519,1757494519
6409576-57_A_50_5710_10:45-SETP2025-57-Semaine-06,7,2656,1757494920,1757494920
6409576-57_A_50_5710_10:45-SETP2025-57-Semaine-06,8,15,1757494976,1757494976
6409576-57_A_50_5710_10:45-SETP2025-57-Semaine-06,9,1033,1757495035,1757495035
6409576-57_A_50_5710_10:45-SETP2025-57-Semaine-06,10,1208,1757495093,1757495093
6409576-57_A_50_5710_10:45-SETP2025-57-Semaine-06,11,1305,1757495219,1757495219
6409576-57_A_50_5710_10:45-SETP2025-57-Semaine-06,12,2910,1757495336,1757495336
6409576-57_A_50_5710_10:45-SETP2025-57-Semaine-06,13,1125,1757495400,1757495400
6409576-57_A_50_5710_10:45-SETP2025-57-Semaine-06,14,52,1757495580,1757495580
6409576-57_A_50_5710_10:45-SETP2025-57-Semaine-06,15,1446,1757495671,1757495671
6409576-57_A_50_5710_10:45-SETP2025-57-Semaine-06,16,1092,1757495718,1757495718
6412269-71_R_99_7101_11:47-PROJET2025-71-Semaine-80,14,1297,,1757498324
6366010-20_A_50_2001_09:33-SETP2025-20-Semaine-42,0,2962,,1757489580
6366010-20_A_50_2001_09:33-SETP2025-20-Semaine-42,1,5246,1757489970,1757489970
6366010-20_A_50_2001_09:33-SETP2025-20-Semaine-42,2,5020,,1757490156
