trip_id,route_id,direction_id
6414379-07_A_49_0710_22:40-SETP2025-07-L-Ma-J-V-41,07,
6368768-09_R_99_0905_23:00-PROJET2025-09-Semaine-35,09,
6414372-07_R_97_0701_23:00-SETP2025-07-L-Ma-J-V-41,07,
6452975-T1_A_12_VT113_22:30-SETP2025-L1-Semaine-04,L1,
6452555-T1_A_12_VT118_22:45-SETP2025-L1-Semaine-04,L1,
6428368-60_R_99_6003_22:20-PROJET2025-60-Semaine-08,chouette:Line:4a8dc505-72e7-4b72-b186-a5b46e94fb82:LOC,
6368773-09_A_50_0901_22:30-PROJET2025-09-Semaine-35,09,
6414380-07_A_49_0701_23:29-SETP2025-07-L-Ma-J-V-41,07,
6446416-05_R_50_0506_23:40-SETP2025-05-L-Ma-J-V-38,05,
6170738-L3_A_48__22:00-JANV2025-L3-Semaine-09,L3,
6170484-L2_A_49__22:20-JANV2025-L2-Semaine-09,L2,
6402598-32_A_48_3202_22:15-SETP2025-32-Semaine-34,32,
6005421-B_A_50_VTB04_22:20-JANV2025-B-Semaine-03,B,
6409669-57_R_99_5709_22:35-SETP2025-57-Semaine-06,57,
6414367-07_R_97_0710_23:30-SETP2025-07-L-Ma-J-V-41,07,
6429311-15_A_50_1505_22:25-SETP2025-15-Semaine-11,15,
6409671-57_R_99_5712_23:35-SETP2025-57-Semaine-06,57,
6368774-09_A_50_0904_23:00-PROJET2025-09-Semaine-35,09,
6368769-09_R_99_0907_22:30-PROJET2025-09-Semaine-35,09,
6452592-T1_R_57_VT105_22:45-SETP2025-L1-Semaine-04,L1,
6170497-L2_R_98__22:10-JANV2025-L2-Semaine-09,L2,
6452590-T1_R_57_VT122_22:15-SETP2025-L1-Semaine-04,L1,
6452554-T1_A_12_VT110_22:15-SETP2025-L1-Semaine-04,L1,
6414370-07_R_97_0710_22:00-SETP2025-07-L-Ma-J-V-41,07,
6429339-15_R_99_1502_22:00-SETP2025-15-Semaine-11,15,
4523347-88_A_49_8801_17:40-RESEAU2023-88-Semaine-83-1101100,88,
6170755-L3_A_48__22:54-JANV2025-L3-Semaine-09,L3,
5839180-Exp4_R_97_EXP401_22:10-PROJET2025-Exp4-Semaine-04,Exp4,
6429341-15_R_99_1505_23:05-SETP2025-15-Semaine-11,15,
6409678-57_A_50_5707_22:05-SETP2025-57-Semaine-06,57,
6409680-57_A_50_5703_23:05-SETP2025-57-Semaine-06,57,
6327163-17_R_99_1704_22:10-SETP2025-17-L-Ma-J-V-35,17,
6368775-09_A_50_0905_22:00-PROJET2025-09-Semaine-35,09,
6452593-T1_R_57_VT110_23:00-SETP2025-L1-Semaine-04,L1,
6170761-L3_A_14__22:13-JANV2025-L3-Semaine-09,L3,
6170747-L3_R_97__22:00-JANV2025-L3-Semaine-09,L3,
6409670-57_R_99_5707_23:05-SETP2025-57-Semaine-06,57,
6446424-05_R_50_0506_23:00-SETP2025-05-L-Ma-J-V-38,05,
6452589-T1_R_57_VT118_22:00-SETP2025-L1-Semaine-04,L1,
6369833-49_R_95_4901_19:30-PROJET2025-49-Semaine-08,chouette:Line:07759d26-564a-4043-bd2d-d1e0c98d686c:LOC,
6005444-B_A_50_VTB01_23:20-JANV2025-B-Semaine-03,B,
4542667-44_R_99_4401_22:38-RESEAU2023-44-Semaine-89,44,
6170772-L3_A_48__22:34-JANV2025-L3-Semaine-09,L3,
6409667-57_R_99_5712_21:40-SETP2025-57-Semaine-06,57,
6170748-L3_A_48__21:41-JANV2025-L3-Semaine-09,L3,
6446417-05_A_99_0506_23:20-SETP2025-05-L-Ma-J-V-38,05,
6402599-32_R_97_3202_22:25-SETP2025-32-Semaine-34,32,
6170799-L3_R_93__21:54-JANV2025-L3-Semaine-09,L3,
4542724-44_A_50_4401_22:30-RESEAU2023-44-Semaine-89,44,
6005407-B_R_99_VTB01_22:18-JANV2025-B-Semaine-03,B,
6409681-57_A_50_5709_23:35-SETP2025-57-Semaine-06,57,
6170751-L3_A_48__22:24-JANV2025-L3-Semaine-09,L3,
6005429-B_R_99_VTB04_22:37-JANV2025-B-Semaine-03,B,
