trip_id,route_id,direction_id
4542751-44_R_99_4401_15:33-RESEAU2023-44-Semaine-89,44,1
4603457-83_R_1_8301_15:35-RESEAU2023-83-Semaine-03,83,1
6170731-L3_R_97__14:31-JANV2025-L3-Semaine-09,L3,1
6253010-14_R_99_1403_15:09-SETP2025-14-L-Ma-J-V-38,14,1
5097939-69_R_90_6901_18:20-PROJET2023-69-Semaine-15,69,1
5925331-54_A_47_5403_16:05-PROJET2025-54-Semaine-17,54,0
6428099-98_A_50_9806_14:10-SETP2025-98-Semaine-08,98,0
5340998-72_R_98_7201_14:35-PROJET2024-72-Semaine-74,72,1
6424172-16_A_50_1603_15:23-SETP2025-16-Semaine-35,16,0
6428456-61_A_50_6102_16:10-PROJET2025-61-Semaine-24,61,0
6366021-20_A_50_2005_15:46-SETP2025-20-Semaine-42,20,0
6018958-55_R_98_5502_13:11-PROJET2025-55-Semaine-08,55,1
6409594-57_A_50_5709_15:06-SETP2025-57-Semaine-06,57,0
6472708-50_R_99_5002_14:36-PROJET2025-50-Semaine-08,50,
6368813-09_R_98_0903_15:10-PROJET2025-09-Semaine-35,09,1
6446521-05_A_99_0501_14:43-SETP2025-05-L-Ma-J-V-38,05,
4603459-83_R_1_8301_16:45-RESEAU2023-83-Semaine-03,83,1
6420020-35_R_99_3501_16:57-SETP2025-35-Semaine-35,35,1
6102467-63_R_98_6301_16:25-PROJET2025-63-Semaine-72-1101100,63,1
6414316-07_A_49_0706_15:19-SETP2025-07-L-Ma-J-V-41,07,0
6253071-14_R_99_1402_14:47-SETP2025-14-L-Ma-J-V-38,14,
6428350-60_A_50_6003_15:50-PROJET2025-60-Semaine-08,chouette:Line:4a8dc505-72e7-4b72-b186-a5b46e94fb82:LOC,0
6446533-05_R_50_0508_14:51-SETP2025-05-L-Ma-J-V-38,05,1
6261675-73_A_1_7302_13:43-PROJET2025-73-Semaine-16,73,
6416007-21_A_50_2102_15:42-SETP2025-21-Semaine-40,21,0
6409637-57_R_99_5705_15:53-SETP2025-57-Semaine-06,57,1
6472686-50_R_99_5003_14:12-PROJET2025-50-Semaine-08,50,
6428295-60_A_50_6001_16:10-PROJET2025-60-Semaine-08,chouette:Line:4a8dc505-72e7-4b72-b186-a5b46e94fb82:LOC,0
6368777-09_A_50_0904_15:02-PROJET2025-09-Semaine-35,09,0
6409638-57_R_99_5713_16:06-SETP2025-57-Semaine-06,57,1
5909233-NVN3_A_90_NVN301_15:45-PROJET2025-NVence3-Semaine-12,NVN3,0
6414309-07_R_97_0704_15:47-SETP2025-07-L-Ma-J-V-41,07,1
5673219-NVN1_A_48_NVN102_14:45-PROJET2024-NVence1-Semaine-15,NVN1,0
6253044-14_R_99_1407_15:31-SETP2025-14-L-Ma-J-V-38,14,1
5673244-NVN1_A_48_NVN101_16:20-PROJET2024-NVence1-Semaine-15,NVN1,0
6452871-T1_A_12_VT104_14:19-SETP2025-L1-Semaine-04,L1,0
6429230-15_R_99_1503_15:52-SETP2025-15-Semaine-11,15,1
6429331-15_R_99_1505_16:28-SETP2025-15-Semaine-11,15,1
6170589-L3_A_48__14:23-JANV2025-L3-Semaine-09,L3,0
6102463-63_R_98_6303_15:00-PROJET2025-63-Semaine-72-1101100,63,1
6327195-17_R_99_1707_15:20-SETP2025-17-L-Ma-J-V-35,17,1
6420009-35_R_99_3504_16:24-SETP2025-35-Semaine-35,35,1
6253043-14_R_99_1407_14:13-SETP2025-14-L-Ma-J-V-38,14,
6412282-71_R_99_7102_14:16-PROJET2025-71-Semaine-80,71,1
4669813-62_R_98_6202_16:23-RESEAU2023-62-Semaine-17,62,1
6018945-55_A_48_5502_18:40-PROJET2025-55-Semaine-08,55,0
6077774-58_A_50_5802_15:38-PROJET2025-58-Semaine-06,58,0
6252490-11_A_50_1105_14:24-SETP2025-11-Semaine-37,11,
6355836-18_A_50_1807_14:50-SETP2025-18-Semaine-39,18,0
6413109-38_A_50_3805_15:32-SETP2025-38-Semaine-41,38,0
6414287-07_R_97_0704_14:19-SETP2025-07-L-Ma-J-V-41,07,
6424144-16_R_97_1601_16:22-SETP2025-16-Semaine-35,16,1
6414301-07_R_97_0708_16:32-SETP2025-07-L-Ma-J-V-41,07,1
6170422-L2_A_49__14:04-JANV2025-L2-Semaine-09,L2,0
6369770-42_A_5_4202_15:11-PROJET2025-42-Semaine-83,42,0
6416296-51_A_49_5103_14:35-PROJET2025-51-Semaine-10,51,
6411418-70_R_99_7001_14:30-SETP2025-70-Semaine-35,70,
5408581-82_A_50_8202_17:45-PROJET2024-82-Semaine-93,82,0
6005354-B_A_50_VTB03_14:59-JANV2025-B-Semaine-03,B,0
6218534-84_A_46_8402_13:50-PROJET2025-84-Semaine-04,84,
6429223-15_A_50_1501_14:18-SETP2025-15-Semaine-11,15,
6409624-57_A_50_5703_15:54-SETP2025-57-Semaine-06,57,0
6218562-84_R_95_8401_14:56-PROJET2025-84-Semaine-04,84,1
5203706-68_A_50_6803_14:40-PROJET2024-68-Semaine-15,68,0
6428103-98_A_50_9805_15:18-SETP2025-98-Semaine-08,98,0
6327223-17_R_99_1705_14:28-SETP2025-17-L-Ma-J-V-35,17,
5408575-82_R_99_8201_17:20-PROJET2024-82-Semaine-93,82,1
6368814-09_A_49_0905_14:02-PROJET2025-09-Semaine-35,09,
6252954-14_R_99_1406_15:20-SETP2025-14-L-Ma-J-V-38,14,1
6416413-33_A_50_3302_15:36-SETP2025-33-L-Ma-J-V-36,33,0
6252495-11_A_50_1104_15:24-SETP2025-11-Semaine-37,11,0
6369704-30_R_99_3001_14:36-SETP2025-30-Semaine-32,30,
6355793-18_R_99_1804_14:16-SETP2025-18-Semaine-39,18,
5673240-NVN1_A_48_NVN101_14:15-PROJET2024-NVence1-Semaine-15,NVN1,
6409588-57_A_50_5708_13:45-SETP2025-57-Semaine-06,57,
4759153-47_R_99_4701_19:11-PROJET2023-47-Semaine-10,47,1
6412110-37_R_99_3702_15:58-SETP2025-37-Semaine-37,37,1
6419999-35_A_50_3503_14:11-SETP2025-35-Semaine-35,35,
5673241-NVN1_R_98_NVN101_14:45-PROJET2024-NVence1-Semaine-15,NVN1,1
6365950-20_A_50_2002_15:20-SETP2025-20-Semaine-42,20,0
4350598-40_A_50_4001_15:53-RESEAU2023-40-Semaine-04,40,0
6140092-41_R_99_4101_16:41-PROJET2025-41-Semaine-05,41,1
4515187-80_A_43_8001_16:10-RESEAU2023-80-Semaine-94,80,0
6366084-20_A_50_2003_16:12-SETP2025-20-Semaine-42,20,0
6170600-L3_A_48__14:15-JANV2025-L3-Semaine-09,L3,0
6414262-07_A_49_0703_14:22-SETP2025-07-L-Ma-J-V-41,07,
6368889-09_R_98_0906_14:40-PROJET2025-09-Semaine-35,09,
6170668-L3_A_48__14:38-JANV2025-L3-Semaine-09,L3,0
6253021-14_A_50_1405_14:23-SETP2025-14-L-Ma-J-V-38,14,
6446590-05_R_50_0503_16:21-SETP2025-05-L-Ma-J-V-38,05,1
6414296-07_R_97_0711_16:23-SETP2025-07-L-Ma-J-V-41,07,1
5422158-75_R_97_7501_17:45-PROJET2024-75-Semaine-86-1101100,75,1
6416315-51_R_98_5105_14:51-PROJET2025-51-Semaine-10,51,1
6327137-17_A_50_1704_15:22-SETP2025-17-L-Ma-J-V-35,17,0
6429218-15_R_99_1504_16:16-SETP2025-15-Semaine-11,15,1
6366076-20_R_99_2005_16:27-SETP2025-20-Semaine-42,20,1
6420777-81_R_98_8102_15:20-SETP2025-81-Semaine-40,81,1
6416005-21_A_50_2101_14:05-SETP2025-21-Semaine-40,21,
6428449-61_A_50_6101_15:10-PROJET2025-61-Semaine-24,61,0
6355839-18_A_50_1802_15:43-SETP2025-18-Semaine-39,18,0
6140098-41_R_98_4101_15:27-PROJET2025-41-Semaine-05,41,1
6368888-09_R_98_0902_14:10-PROJET2025-09-Semaine-35,09,
6414318-07_A_49_0708_15:35-SETP2025-07-L-Ma-J-V-41,07,0
4603454-83_R_1_8301_14:25-RESEAU2023-83-Semaine-03,83,
6368788-09_R_99_0901_15:25-PROJET2025-09-Semaine-35,09,1
5759390-NVN2_A_50_NVN201_14:20-PROJET2024-NVence2-Semaine-12,NVN2,
5925322-54_A_50_5402_15:29-PROJET2025-54-Semaine-17,54,0
6369705-30_R_99_3002_14:58-SETP2025-30-Semaine-32,30,1
6446552-05_A_99_0508_15:18-SETP2025-05-L-Ma-J-V-38,05,0
6355794-18_R_99_1805_14:34-SETP2025-18-Semaine-39,18,
6403262-36_R_99_3604_15:40-SETP2025-36-Semaine-33,36,1
