trip_id,route_id,vehicle_id,latitude,longitude,bearing,stop_id
6368765-09_R_99_0904_22:00-PROJET2025-09-Semaine-35,09,TCA109468,43.66802978515625,7.126721382141113,334.0,4272
6414368-07_A_49_0701_22:10-SETP2025-07-L-Ma-J-V-41,07,RLA463,43.72045135498047,7.283660888671875,186.0,1302
6369833-49_R_95_4901_19:30-PROJET2025-49-Semaine-08,chouette:Line:07759d26-564a-4043-bd2d-d1e0c98d686c:LOC,TCA109005,43.68578338623047,7.149382591247559,111.0,4112
6414376-07_R_97_0705_22:30-SETP2025-07-L-Ma-J-V-41,07,RLA448,43.69898986816406,7.284948348999023,7.0,701
6409679-57_A_50_5712_22:35-SETP2025-57-Semaine-06,57,RLA626,43.705360412597656,7.289735794067383,290.0,1150
6327158-17_A_50_1706_22:10-SETP2025-17-L-Ma-J-V-35,17,RLA159,43.683223724365234,7.2031331062316895,346.0,2742
6429311-15_A_50_1505_22:25-SETP2025-15-Semaine-11,15,RLA318,43.70305252075195,7.277377605438232,108.0,148
4542724-44_A_50_4401_22:30-RESEAU2023-44-Semaine-89,44,TCA108035,43.664974212646484,7.151102066040039,337.0,4145
6368775-09_A_50_0905_22:00-PROJET2025-09-Semaine-35,09,TCA109585,43.659141540527344,7.162506580352783,120.0,4100
5203736-68_R_99_6805_22:00-PROJET2024-68-Semaine-15,68,PDV9,43.76847457885742,7.197115421295166,307.0,21235
5838839-22_R_95_2213_21:50-PROJET2025-22-Semaine-20,22,PDV94,43.67667770385742,7.199697971343994,339.0,2852
6368773-09_A_50_0901_22:30-PROJET2025-09-Semaine-35,09,TCA108671,43.722694396972656,7.107232093811035,23.0,3146
6409669-57_R_99_5709_22:35-SETP2025-57-Semaine-06,57,RLA623,43.72983932495117,7.248337268829346,182.0,2826
6327163-17_R_99_1704_22:10-SETP2025-17-L-Ma-J-V-35,17,RLA160,43.68303298950195,7.222662925720215,54.0,38
6102623-63_A_48_6305_22:00-PROJET2025-63-Semaine-72-1101100,63,TCA73940,43.74423599243164,7.249307632446289,193.0,624
6416049-21_R_99_2103_22:00-SETP2025-21-Semaine-40,21,RLA336,43.670684814453125,7.190668106079102,81.0,
5341006-72_R_98_7201_18:25-PROJET2024-72-Semaine-74,72,TCA115742,43.716766357421875,7.251441955566406,137.0,152
6429340-15_R_99_1504_22:30-SETP2025-15-Semaine-11,15,RLA335,43.690128326416016,7.333203315734863,345.0,8148
6253098-14_R_99_1405_21:30-SETP2025-14-L-Ma-J-V-38,14,RLA485,43.737159729003906,7.308701515197754,30.0,7044
6409668-57_R_99_5703_22:05-SETP2025-57-Semaine-06,57,RLA608,43.7017936706543,7.256180286407471,181.0,1297
6409678-57_A_50_5707_22:05-SETP2025-57-Semaine-06,57,RLA609,43.70403289794922,7.2617998123168945,238.0,1092
4669731-62_A_48_6206_22:15-RESEAU2023-62-Semaine-17,62,TCA73928,43.72443771362305,7.2166361808776855,319.0,1089
4759131-47_A_50_4702_19:06-PROJET2023-47-Semaine-10,47,TCA106793,43.72262954711914,7.186508655548096,355.0,21736
6428368-60_R_99_6003_22:20-PROJET2025-60-Semaine-08,chouette:Line:4a8dc505-72e7-4b72-b186-a5b46e94fb82:LOC,TCA73932,43.70221710205078,7.231245517730713,153.0,1123
6414370-07_R_97_0710_22:00-SETP2025-07-L-Ma-J-V-41,07,RLA462,43.73439025878906,7.295629024505615,81.0,1185
4523346-88_A_49_8801_15:40-RESEAU2023-88-Semaine-83-1101100,88,SUM1746,43.749244689941406,7.28405237197876,115.0,7256
4603451-83_A_47_8301_13:50-RESEAU2023-83-Semaine-03,83,SUM1748,43.72864532470703,7.382203102111816,107.0,8167
6446628-05_R_50_0510_22:21-SETP2025-05-L-Ma-J-V-38,05,RLA357,43.710716247558594,7.2711052894592285,200.0,966
6446633-05_A_99_0506_22:40-SETP2025-05-L-Ma-J-V-38,05,RLA375,43.70052719116211,7.269189834594727,155.0,1434
6140095-41_R_98_4101_19:00-PROJET2025-41-Semaine-05,41,TCA108185,43.685508728027344,7.149449348449707,31.0,4128
6429309-15_A_50_1502_23:00-SETP2025-15-Semaine-11,15,RLA315,43.70071792602539,7.276706218719482,295.0,2581
6428496-61_R_99_6102_22:00-PROJET2025-61-Semaine-24,61,TCA108188,43.68442916870117,7.219227313995361,76.0,39
6416321-51_A_49_5104_20:05-PROJET2025-51-Semaine-10,51,TCA73914,43.72169494628906,7.186924934387207,31.0,2832
6368769-09_R_99_0907_22:30-PROJET2025-09-Semaine-35,09,TCA108952,43.66916275024414,7.210219860076904,273.0,2968
6402599-32_R_97_3202_22:25-SETP2025-32-Semaine-34,32,RLA338,43.68009567260742,7.209384918212891,123.0,810
